slug,pregunta,respuesta
"beauregard","¿Qué incluye la visita?","Incluye el castillo, la famosa Galería de los Retratos y el parque paisajístico."
"beauregard","¿Cuánto dura la visita?","Entre 1 y 1.5 horas."
"beauregard","¿Es accesible para personas con movilidad reducida?","El parque es accesible, pero algunas salas del castillo tienen escaleras."
"beauregard","¿Hay aparcamiento en el castillo?","Sí, hay aparcamiento gratuito en el recinto."
"beauregard","¿Se permiten mascotas?","Se permiten perros con correa en los jardines."
"blois","¿Cuál es el horario del Castillo de Blois?","Abre todo el año, normalmente de 10:00 a 18:00."
"blois","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 14 € para adultos."
"blois","¿Qué incluye la visita?","Incluye el castillo, el museo y acceso a exposiciones temporales."
"blois","¿Cuánto dura la visita?","Entre 1.5 y 2 horas."
"blois","¿Es accesible para personas con movilidad reducida?","Varias zonas son accesibles mediante ascensor."
"blois","¿Hay aparcamiento cerca del castillo?","Sí, varios parkings públicos a pocos minutos."
"blois","¿Se permiten mascotas?","No se permiten mascotas, excepto perros guía."
"chambord","¿Cuál es el horario del Castillo de Chambord?","Abre todo el año, normalmente de 9:00 a 17:00/18:00 según la temporada."
"chambord","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 16 € para adultos."
"chambord","¿Qué incluye la visita?","Incluye el castillo, terrazas y acceso a los jardines."
"chambord","¿Cuánto dura la visita?","La visita completa suele durar entre 2 y 3 horas."
"chambord","¿Es accesible para personas con movilidad reducida?","Sí, con ascensores hacia algunas zonas."
"chambord","¿Hay aparcamiento cerca del castillo?","Sí, parkings de pago dentro del dominio."
"chambord","¿Se permiten mascotas?","No en el interior del castillo; sí en el parque con correa."
"chaumont","¿Cuál es el horario del Castillo de Chaumont-sur-Loire?","Abre todo el año; el parque y festival de jardines tienen horarios ampliados."
"chaumont","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 19 € para adultos (castillo + jardines)."
"chaumont","¿Qué incluye la visita?","El castillo, los jardines contemporáneos y exposiciones de arte."
"chaumont","¿Cuánto dura la visita?","Entre 2 y 3 horas."
"chaumont","¿Es accesible para personas con movilidad reducida?","Los jardines son accesibles; el castillo tiene zonas con escaleras."
"chaumont","¿Hay aparcamiento cerca del castillo?","Sí, parkings gratuitos señalizados."
"chaumont","¿Se permiten mascotas?","Se permiten perros con correa en los jardines; no dentro del castillo."
"chenonceau","¿Cuál es el horario del Castillo de Chenonceau?","Abre todo el año, generalmente entre 9:00 y 19:00 según temporada."
"chenonceau","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 17 € para adultos."
"chenonceau","¿Qué incluye la visita?","Incluye el castillo, la galería sobre el río, jardines y la finca."
"chenonceau","¿Cuánto dura la visita?","Entre 2 y 3 horas."
"chenonceau","¿Es accesible para personas con movilidad reducida?","Sí, cuenta con accesibilidad y préstamo de sillas de ruedas."
"chenonceau","¿Hay aparcamiento cerca del castillo?","Sí, aparcamiento gratuito."
"chenonceau","¿Se permiten mascotas?","Sí, perros con correa en exteriores; solo perros pequeños dentro del castillo (en brazos)."
"cheverny","¿Cuál es el horario del Castillo de Cheverny?","Abre todo el año, normalmente de 10:00 a 17:00/18:00."
"cheverny","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 14 € para adultos."
"cheverny","¿Qué incluye la visita?","Incluye el castillo, jardines y la exposición permanente de Tintín."
"cheverny","¿Cuánto dura la visita?","Entre 1.5 y 2 horas."
"cheverny","¿Es accesible para personas con movilidad reducida?","Sí, gran parte de la visita está adaptada."
"cheverny","¿Hay aparcamiento cerca del castillo?","Sí, aparcamiento gratuito."
"cheverny","¿Se permiten mascotas?","No se permiten mascotas dentro."
"chinon","¿Cuál es el horario de la Fortaleza de Chinon?","Abre todo el año; horarios variables por temporada."
"chinon","¿Cuánto cuesta la entrada?","La entrada cuesta alrededor de 11 € para adultos."
"chinon","¿Qué incluye la visita?","Incluye la fortaleza medieval, exposiciones y acceso a torres panorámicas."
"chinon","¿Cuánto dura la visita?","Entre 1.5 y 2 horas."
"chinon","¿Es accesible para personas con movilidad reducida?","Varias zonas exteriores son accesibles; algunas torres tienen escaleras."
"chinon","¿Hay aparcamiento cerca del castillo?","Sí, parkings cerca del acceso."
"chinon","¿Se permiten mascotas?","Se permiten perros con correa en las zonas exteriores."
"clos-luce","¿Cuál es el horario del Castillo de Clos-Lucé?","Está abierto todo el año, generalmente de 9:00 a 19:00 en temporada alta y con horarios reducidos en invierno."
"clos-luce","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 19 € para adultos. Existen tarifas reducidas y entrada gratuita para menores de cierta edad."
"clos-luce","¿Qué incluye la visita?","Incluye el castillo, el parque y las maquetas de las invenciones de Leonardo da Vinci."
"clos-luce","¿Cuánto dura la visita?","La duración media es de 2 a 3 horas, especialmente si se recorren los jardines temáticos."
"clos-luce","¿Es accesible para personas con movilidad reducida?","El parque es accesible. En el castillo hay zonas con escaleras debido a la estructura histórica."
"clos-luce","¿Hay aparcamiento cerca del castillo?","Sí, hay parkings públicos a pocos minutos a pie."
"clos-luce","¿Se permiten mascotas?","No se permiten mascotas, excepto perros guía."
"langeais","¿Cuál es el horario del Castillo de Langeais?","Abre todo el año. Normalmente de 10:00 a 18:00, con horarios ampliados en verano."
"langeais","¿Cuánto cuesta la entrada?","El precio aproximado es de 12 € para adultos. Hay descuentos para niños y familias."
"langeais","¿Qué incluye la visita?","Incluye el castillo, los jardines y una reconstrucción del matrimonio de Ana de Bretaña y Carlos VIII."
"langeais","¿Cuánto dura la visita?","La visita suele durar entre 1 y 1.5 horas."
"langeais","¿Es accesible para personas con movilidad reducida?","El castillo tiene escaleras interiores, pero el jardín y el exterior son accesibles."
"langeais","¿Hay aparcamiento cerca del castillo?","Sí, hay varias zonas de aparcamiento gratuito en el pueblo a pocos minutos a pie."
"langeais","¿Se permiten mascotas?","Se permiten perros en los jardines con correa, pero no dentro del castillo."
"saumur","¿Cuál es el horario del Castillo de Saumur?","Abre de febrero a diciembre. Los horarios varían según el mes, pero normalmente está abierto de 10:00 a 18:00."
"saumur","¿Cuánto cuesta la entrada?","La entrada cuesta alrededor de 8 € para adultos. Hay tarifas reducidas para jóvenes y estudiantes."
"saumur","¿Qué incluye la visita?","Incluye el acceso al castillo, museo municipal, exposiciones temporales y vistas panorámicas del Loira."
"saumur","¿Cuánto dura la visita?","Entre 1 y 2 horas, dependiendo del tiempo dedicado a las exposiciones."
"saumur","¿Es accesible para personas con movilidad reducida?","Algunas zonas tienen escaleras debido a la estructura histórica, pero varias salas y el patio son accesibles."
"saumur","¿Hay aparcamiento en el castillo?","Sí, hay parking gratuito junto al acceso principal."
"saumur","¿Se permiten mascotas?","Los perros pueden acceder a las zonas exteriores con correa, pero no a los interiores del castillo."
"usse","¿Cuál es el horario del Castillo de Ussé?","El castillo abre todos los días desde primavera hasta otoño. El horario exacto varía según la temporada, generalmente de 10:00 a 18:00."
"usse","¿Cuánto cuesta la entrada?","La entrada cuesta alrededor de 14 € para adultos. Existen tarifas reducidas para niños y estudiantes."
"usse","¿La visita incluye los jardines?","Sí. La entrada incluye la visita al interior del castillo, la capilla y los jardines diseñados por Le Nôtre."
"usse","¿Cuánto dura la visita?","La visita completa suele durar entre 1 y 2 horas, dependiendo del tiempo que se dedique a los jardines y a la exposición sobre la Bella Durmiente."
"usse","¿Es accesible para personas con movilidad reducida?","El recorrido interior tiene escaleras debido a su construcción histórica, pero los jardines son accesibles."
"usse","¿Hay aparcamiento cerca del castillo?","Sí. Hay aparcamiento gratuito frente a la entrada del castillo."
"usse","¿Se permiten mascotas?","Los perros pueden entrar en los jardines siempre que estén sujetos con correa, pero no están permitidos dentro del castillo."
"villandry","¿Cuál es el horario del Castillo de Villandry?","El castillo y los jardines abren todos los días del año. El horario varía según la temporada, pero generalmente es de 9:00 a 18:00."
"villandry","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 10 € para adultos y es gratuita para menores (las tarifas pueden variar según la temporada)."
"villandry","¿Los jardines y el castillo se pueden visitar por separado?","Sí. Puedes comprar entrada solo para los jardines o una entrada combinada que incluye castillo y jardines."
"villandry","¿Cuánto dura la visita?","La visita completa (castillo y jardines) toma entre 1.5 y 2.5 horas. Solo los jardines pueden recorrerse en aproximadamente 1 hora."
"villandry","¿Es accesible para personas con movilidad reducida?","Los jardines son accesibles en su mayoría. El castillo tiene zonas con escaleras debido a su estructura histórica."
"villandry","¿Hay aparcamiento en Villandry?","Sí, hay aparcamiento gratuito cerca de la entrada del castillo."
"villandry","¿Se permiten mascotas?","Los perros pueden acceder a los jardines siempre que vayan con correa. No se permite la entrada de mascotas dentro del castillo."
