slug,nombre,url,descripcion
ciudad-nantes,"Château de Serrant","serrant.php","Château refinado famoso por su mobiliario y estancias históricas, cerca de Angers."
chateau-de-chambord,"Château Royal de Blois","chateau-royal-de-blois.php","Palacio renacentista con historia real."
chateau-de-chambord,"Château de Cheverny","chateau-de-cheverny.php","Famoso por su elegante decoración interior."
chateau-de-chambord,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","Conocido por sus jardines y festivales."
chateau-de-chambord,"Château de Villandry","chateau-de-villandry.php","Jardines renacentistas espectaculares."
chateau-de-chambord,"Château de Chenonceau","chateau-de-chenonceau.php","El castillo sobre el río Cher, muy pintoresco."
castillo-de-chenonceau,"Château Royal d'Amboise","Chateau-royal-de-amboise.php","Residencia real con vistas al Loira."
castillo-de-chenonceau,"Château del Clos-Lucé","chateau-de-clos-luce.php","Último hogar de Leonardo da Vinci."
castillo-de-chenonceau,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","Famoso por su Festival Internacional de Jardines."
castillo-de-chenonceau,"Château de Montpoupon","montpoupon.php","Château menos conocido rodeado de bosque."
castillo-de-chenonceau,"Château de Loches","loches.php","Fortaleza medieval con historia real."
castillo-de-chenonceau,"Château de Valmer","valmer.php","Renombrado por sus jardines y viñedos."
chateau-de-chaumont-sur-loire,"Château Royal de Blois","chateau-royal-de-blois.php","Residencia real con cuatro estilos arquitectónicos."
chateau-de-chaumont-sur-loire,"Château Royal d'Amboise","Chateau-royal-de-amboise.php","Château real con vistas al Loira."
chateau-de-chaumont-sur-loire,"Château de Clos-Lucé","chateau-de-clos-luce.php","Última residencia de Leonardo da Vinci."
chateau-de-chaumont-sur-loire,"Château de Chenonceau","chateau-de-chenonceau.php","Icono del Loira construido sobre el río Cher."
chateau-de-chaumont-sur-loire,"Château de Chambord","chateau-de-chambord.php","El castillo más grande y emblemático del Loira."
chateau-de-chaumont-sur-loire,"Château de Cheverny","chateau-de-cheverny.php","Conocido por su fastuosa decoración interior."
chateau-de-chaumont-sur-loire,"Château de Chaumont-sur-Loire – Jardines","chateau-de-chaumont-sur-loire.php","Famoso por el Festival Internacional de Jardines."
chateau-de-cheverny,"Château de Chambord","chateau-de-chambord.php","A solo 20 minutos; el castillo más grande y emblemático del Valle del Loira."
chateau-de-cheverny,"Château de Blois","chateau-royal-de-blois.php","Palacio real con cuatro estilos arquitectónicos y museos espectaculares."
chateau-de-cheverny,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","Famoso por su Festival Internacional de Jardines y vistas al Loira."
chateau-de-cheverny,"Château de Beauregard","chateau-de-beauregard.php","Conocido por su impresionante Galería de los 327 retratos históricos."
chateau-de-cheverny,"Château de Fougères-sur-Bièvre","chateau-de-fougeres-sur-bievre.php","Un castillo medieval más pequeño, auténtico y muy bien conservado."
chateau-royal-de-blois,"Château de Chambord","chateau-de-chambord.php","A solo 20 minutos; el mayor y más impresionante castillo renacentista del Valle del Loira."
chateau-royal-de-blois,"Château de Cheverny","chateau-de-cheverny.php","Famoso por su lujoso interior y su vínculo con Tintín y el Castillo de Moulinsart."
chateau-royal-de-blois,"Château de Beauregard","chateau-de-beauregard.php","Conocido por su Galería de los Retratos con más de 300 figuras históricas."
chateau-royal-de-blois,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","Celebra cada año el Festival Internacional de Jardines."
chateau-royal-de-blois,"Château de Talcy","chateau-de-talcy.php","Un castillo poético del Renacimiento francés, vinculado a Pierre de Ronsard."
chateau-de-beauregard,"Château de Chambord","chateau-de-chambord.php","A menos de 25 minutos; el castillo más grande y emblemático del Valle del Loira."
chateau-de-beauregard,"Château de Blois","chateau-royal-de-blois.php","Antigua residencia real con cuatro estilos arquitectónicos únicos."
chateau-de-beauregard,"Château de Cheverny","chateau-de-cheverny.php","Conocido por su refinado interior y su vinculación con Tintín."
chateau-de-beauregard,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","Famoso por el Festival Internacional de Jardines."
chateau-de-beauregard,"Château de Fougères-sur-Bièvre","chateau-de-fougeres-sur-bievre.php","Château medieval pequeño, auténtico y muy bien conservado."
chateau-royal-de-amboise,"Château du Clos Lucé","clos-luce.php","A solo 500 metros; última residencia de Leonardo da Vinci, con jardines y talleres interactivos."
chateau-royal-de-amboise,"Château de Chenonceau","chenonceau.php","A 20 minutos; el icónico castillo construido sobre el río Cher, uno de los más bellos de Francia."
chateau-royal-de-amboise,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","Conocido por su Festival Internacional de Jardines y vistas espectaculares al Loira."
chateau-royal-de-amboise,"Château de Montlouis-sur-Loire","montlouis-sur-loire.php","Castillo menos turístico, rodeado de viñedos del Loira y con un entorno muy tranquilo."
chateau-royal-de-amboise,"Forteresse Royale de Chinon","chateau-de-chinon.php","A 35 minutos; una fortaleza medieval impresionante con vistas al valle de la Vienne."
chateau-de-clos-luce,"Château Royal d’Amboise","chateau-royal-de-amboise.php","A solo 500 metros; vistas espectaculares al Loira y tumba de Leonardo da Vinci."
chateau-de-clos-luce,"Château de Chenonceau","chenonceau.php","A 25 minutos; el castillo más romántico del Loira, construido sobre el río Cher."
chateau-de-clos-luce,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","Famoso por su Festival Internacional de Jardines y su parque panorámico."
chateau-de-clos-luce,"Château de Montpoupon","montpoupon.php","Castillo menos turístico, con un interesante museo de la caza y caballería."
chateau-de-clos-luce,"Château de Chambord","chateau-de-chambord.php","A 45 minutos; el castillo más grande del Loira, símbolo del Renacimiento francés."
chateau-de-fougeres-sur-bievre,"Château de Cheverny","chateau-de-cheverny.php","A 15 minutos; elegante residencia con interiores suntuosos y jardines simétricos."
chateau-de-fougeres-sur-bievre,"Château de Blois","chateau-royal-de-blois.php","A 20 minutos; palacio renacentista con historia real y museos."
chateau-de-fougeres-sur-bievre,"Château de Chambord","chateau-de-chambord.php","A 25 minutos; el castillo más grande del Loira, símbolo del Renacimiento francés."
chateau-de-fougeres-sur-bievre,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","A 30 minutos; famoso por el Festival Internacional de Jardines."
chateau-de-fougeres-sur-bievre,"Château de Beauregard","chateau-de-beauregard.php","A 20 minutos; destaca por su Galería de los 327 retratos históricos."
nantes,"Château des Ducs de Bretagne","chateau-des-ducs-de-bretagne.php","En el centro histórico; antigua residencia de los duques de Bretaña y museo de historia de Nantes."
nantes,"Château de Clisson","chateau-de-clisson.php","A 35 minutos; castillo medieval de estilo italiano en un entorno pintoresco."
nantes,"Château de Goulaine","chateau-de-goulaine.php","A 20 minutos; uno de los castillos más antiguos del Loira, rodeado de viñedos."
nantes,"Château de Tiffauges","chateau-de-tiffauges.php","A 50 minutos; fortaleza medieval ligada a Gilles de Rais, con espectáculos históricos."
nantes,"Château d’Oudon","chateau-d-oudon.php","A 35 minutos; torre medieval con vistas panorámicas sobre el Loira."
saumur,"Château de Saumur","chateau-de-saumur.php","En la ciudad; castillo-palacio con vistas al Loira y museos en su interior."
saumur,"Château de Montreuil-Bellay","chateau-de-montreuil-bellay.php","A 15 minutos; impresionante fortaleza medieval con bodegas subterráneas."
saumur,"Château de Brézé","chateau-de-breze.php","A 20 minutos; famoso por su red de galerías subterráneas únicas en Europa."
saumur,"Château de Montsoreau","chateau-de-montsoreau.php","A 15 minutos; castillo renacentista junto al Loira y museo de arte contemporáneo."
saumur,"Château de Brissac","chateau-de-brissac.php","A 40 minutos; el castillo más alto de Francia, rodeado de viñedos."
tours,"Château de Villandry","chateau-de-villandry.php","A 20 minutos; célebre por sus jardines renacentistas geométricos."
tours,"Château d’Azay-le-Rideau","chateau-d-azay-le-rideau.php","A 25 minutos; joya del Renacimiento francés rodeada de agua."
tours,"Château de Langeais","chateau-de-langeais.php","A 30 minutos; castillo medieval y renacentista con interiores amueblados."
tours,"Château de Chenonceau","chenonceau.php","A 40 minutos; icónico castillo sobre el río Cher, uno de los más visitados del Loira."
tours,"Château de Ussé","chateau-d-ussegl.php","A 45 minutos; conocido como el castillo que inspiró La Bella Durmiente."
blois,"Château Royal de Blois","chateau-royal-de-blois.php","En el centro; residencia real con cuatro estilos arquitectónicos diferentes."
blois,"Château de Chambord","chateau-de-chambord.php","A 20 minutos; el castillo más grande del Loira y obra maestra del Renacimiento."
blois,"Château de Cheverny","chateau-de-cheverny.php","A 25 minutos; famoso por su interior perfectamente conservado."
blois,"Château de Beauregard","chateau-de-beauregard.php","A 20 minutos; conocido por su galería de retratos históricos."
blois,"Château de Talcy","chateau-de-talcy.php","A 30 minutos; castillo renacentista ligado a la poesía francesa."
chinon,"Forteresse Royale de Chinon","forteresse-de-chinon.php","En la ciudad; castillo medieval ligado a Juana de Arco."
chinon,"Château d’Ussé","chateau-d-ussegl.php","A 30 minutos; castillo de cuento de hadas sobre el valle del Indre."
chinon,"Château de Montsoreau","chateau-de-montsoreau.php","A 25 minutos; castillo a orillas del Loira con museo contemporáneo."
chinon,"Château de Rigny-Ussé","chateau-de-rigny-ussegl.php","A 35 minutos; elegante castillo renacentista rodeado de jardines."
chinon,"Château du Rivau","chateau-du-rivau.php","A 40 minutos; castillo medieval famoso por sus jardines temáticos."
amboise,"Château du Clos Lucé","clos-luce.php","A solo 500 metros; última residencia de Leonardo da Vinci, con jardines y talleres interactivos."
amboise,"Château de Chenonceau","chenonceau.php","A 20 minutos; el icónico castillo construido sobre el río Cher, uno de los más bellos de Francia."
amboise,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire.php","A 30 minutos; famoso por su Festival Internacional de Jardines y vistas espectaculares al Loira."
amboise,"Château de Montpoupon","montpoupon.php","A 35 minutos; castillo renacentista con museo de caza y naturaleza."
amboise,"Château de Villandry","chateau-de-villandry.php","A 45 minutos; célebre por sus jardines renacentistas geométricos."
orleans,"Château de Meung-sur-Loire","chateau-de-meung-sur-loire.php","A 20 minutos; castillo medieval y renacentista junto al Loira."
orleans,"Château de Beaugency","chateau-de-beaugency.php","A 30 minutos; castillo histórico con exposiciones culturales."
orleans,"Château de Sully-sur-Loire","chateau-de-sully-sur-loire.php","A 45 minutos; fortaleza medieval a la entrada del Valle del Loira."
orleans,"Château de La Ferté-Saint-Aubin","chateau-de-la-ferte-saint-aubin.php","A 30 minutos; castillo rodeado de bosques y actividades familiares."
orleans,"Château de Chamerolles","chateau-de-chamerolles.php","A 35 minutos; castillo renacentista con museo de perfumes."
